S_No,Category,Product,Indian Company,SKU CODE,Model Number,Brand,BRAND,MOVEMENT,FEATURES,GENDER,CASE SIZE,CASE SHAPE,CASE MATERIAL,STRAP MATERIAL,STRAP COLOUR,Special features,MRP
15,Analog Wtch,"01.561.6009.3.075 wrist watch-r30009752 s watch centrix whit - e auto,j,b selfwind, steel, white, 25 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r30009752,Rado,,,,,,,,,,,
16,Analog Wtch,"01.963.3855.2.292 wrist watch-r22855929 s watch coupole pink - , mop, j quartz, steel pink, 5 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r22855929,Rado,,,,,,,,,,,
17,Analog Wtch,"01.153.0199.3.071 wrist watch-r20201712 s watch integral bro - wn,brown j quartz, steel, pink, 6 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r20201712,Rado,,,,,,,,,,,
18,Analog Wtch,"01.212.0206.3.071 wrist watch-r20206712 l watch integral bla - ck,black j quartz, steel, 8 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r20206712,Rado,,,,,,,,,,,
19,Analog Wtch,"01.153.0194.3.071 wrist watch-r20612712 s watch integral bla - ck,black j quartz, steel, pink, 6 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r20612712,Rado,,,,,,,,,,,
20,Analog Wtch,"01.153.0845.3.071 wrist watch-r20845712 s watch integral bla - ck,black j quartz, steel, yellow, 6 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r20845712,Rado,,,,,,,,,,,
21,Analog Wtch,"01.764.0408.3.061 wrist watch-r12408613 l watch original, bl - ack selfwind., hard metal, white, 25 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r12408613,Rado,,,,,,,,,,,
22,Analog Wtch,"01.764.0413.3.103 wrist watch-r12413034 l watch original, ye - llow selfwind, hard metal, yellow, 25 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r12413034,Rado,,,,,,,,,,,
23,Analog Wtch,"01.764.0413.3.007 wrist watch-r12413073 l watch original, ye - llow selfwind., hard metal, yellow, 25 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r12413073,Rado,,,,,,,,,,,
24,Analog Wtch,"01.764.0413.3.131 wrist watch-r12413314 l watch original, ye - llow selfwind, hard metal, yellow, 25 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r12413314,Rado,,,,,,,,,,,
25,Analog Wtch,"01.764.0413.3.032 wrist watch-r12413323 l watch original, ye - llow selfwind., hard metal, yellow, 25 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r12413323,Rado,,,,,,,,,,,
26,Analog Wtch,"01.764.0413.3.132 wrist watch-r12413324 l watch original, ye - llow selfwind, hard metal, yellow, 25 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r12413324,Rado,,,,,,,,,,,
27,Analog Wtch,"01.763.0637.3.016 wrist watch-r12637163 xl watch original au - t,blk/blue selfwind., hard metal, white, 25 j (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r12637163,Rado,,,,,,,,,,,
28,Analog Wtch,"01.764.0995.3.015 wrist watch-r12995153 xl watch neworiginal - ddate,w. selfwind., hard metal/steel, white, (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r12995153,Rado,,,,,,,,,,,
29,Analog Wtch,"01.114.0391.3.015 wrist watch-r12391153 l watch original, bl - ack quartz, hard metal white, 7 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r12391153,Rado,,,,,,,,,,,
30,Analog Wtch,"01.212.0700.3.070 wrist watch-r21700702 l watch ceramica bla - ck,j,black quartz, ceramics, black, 8 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r21700702,Rado,,,,,,,,,,,
31,Analog Wtch,"01.420.0702.3.072 wrist watch-r21702722 s watch ceramica bla - ck,j,black quartz, ceramics, black, 13 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r21702722,Rado,,,,,,,,,,,
32,Analog Wtch,"01.318.3744.4.010 wrist watch-r48744103 s watch flo. rondo, - grey quartz, steel, white, 7 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r48744103,Rado,,,,,,,,,,,
33,Analog Wtch,"01.318.3744.4.015 wrist watch-r48744153 s watch flo. rondo, - black quartz, steel, white, 3 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r48744153,Rado,,,,,,,,,,,
34,Analog Wtch,"01.318.3744.4.016 wrist watch-r48744163 s watch flo. rondo, - black quartz, steel, white, 3 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r48744163,Rado,,,,,,,,,,,
35,Analog Wtch,"01.318.3744.4.072 wrist watch-r48744723 s watch flo. rondo, - j, black quartz, steel, white, 7 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r48744723,Rado,,,,,,,,,,,
36,Analog Wtch,"01.318.3745.2.015 wrist watch-r48745154 s watch flo. rondo b - ico, black quartz, steel pvd yellow, 7 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r48745154,Rado,,,,,,,,,,,
37,Analog Wtch,"01.115.3792.4.010 wrist watch-r48792103 xl watch flo. rondo, - grey quartz, steel, white, 7 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r48792103,Rado,,,,,,,,,,,
38,Analog Wtch,"01.115.3792.4.015 wrist watch-r48792153 xl watch flo. rondo, - black quartz, steel, white, 7 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r48792153,Rado,,,,,,,,,,,
39,Analog Wtch,"01.115.3867.2.215 wrist watch-r48867155 l watch florence yel - low, black quartz, steel pvd yellow, 7 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r48867155,Rado,,,,,,,,,,,
40,Analog Wtch,"01.115.3868.2.016 wrist watch-r48868163 l watch florence yel - low, black quartz, steel pvd yellow, 7 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r48868163,Rado,,,,,,,,,,,
41,Analog Wtch,"01.115.3868.2.072 wrist watch-r48868723 l watch florence yel - low,j,whit quartz, steel pvd yellow, 7 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r48868723,Rado,,,,,,,,,,,
42,Analog Wtch,"01.111.3871.2.017 wrist watch-r48871173 s watch florence yel - low, black quartz, steel pvd yellow, 7 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r48871173,Rado,,,,,,,,,,,
43,Analog Wtch,"01.111.3871.2.171 wrist watch-r48871714 s watch florence yel - low, j,blk quartz, steel pvd yellow, 7 jwls (brand: rado)",SWATCH GROUP (INDIA)PVT.LTD.,,r48871714,Rado,,,,,,,,,,,
