model_no,clasp type,features,movement,case size,case shape,case material,glass material,dial colour,strap material,strap colour,ean,precious stone,gender,water resistance (m),warranty period,country of origin,price,product
r30009752,,date,automatic,28 mm,round,steel,sapphire crystal,black,steel,silver,7.61E+12,on dial ,women ,30,    2 year,switzerland ,"₹  2,10,500",Centrix
r22855929,,,quartz,27 mm,round,steel & rose gold pvd,sapphire crystal,mop,steel & rose gold pvd,silver & rose gold,7.61E+12,on dial ,women ,50,    2 years,switzerland ,"₹  1,23,500",Coupole
r20201712,,,quartz,22.7 mm,rectangular,steel & ceramic,sapphire crystal,black,steel & ceramic,brown,7.61E+12,on dial ,women ,50,    2 years,switzerland ,"₹  2,09,500",Integral
r20206712,,date,quartz,31 mm,rectangular,ceramic,sapphire crystal,black,ceramic,silver & black,7.61E+12,on dial ,men ,30,    2 years,switzerland ,"₹  2,09,500",Integral
r20612712,,,quartz,23 mm,rectangular,ceramic & rose gold pvd,sapphire crystal,black,ceramic & rose gold pvd,black & rose gold,7.61E+12,on dial ,women ,30,    2 years,switzerland ,"₹  2,09,500",Integral
r20845712,,,quartz,23 mm,rectangular,ceramic & yellow gold pvd,sapphire crystal,black,ceramic & yellow gold pvd,black & yellow gold,7.61E+12,on dial ,women ,30,    2 years,switzerland ,"₹  2,09,500",Integral
r12408613,,,automatic,35 mm,round,steel,sapphire crystal,black,steel,,,on dial ,men ,,,switzerland ,"₹  1,13,700",Original
r12413034,,,automatic,35 mm,round,cvd coated hardmetal,sapphire crystal,champagne,steel & yellow gold pvd,,7.61E+12,on dial ,men ,,,switzerland ,"₹  1,02,800",Original
r12413073,,day-date,automatic,35 mm,oval,steel & yellow gold pvd,sapphire crystal,champagne,steel & yellow gold pvd,yellow gold,7.61E+12,on dial ,men ,30,    2 years,switzerland ,"₹  1,02,700",The Original Automatic
r12413314,,day-date,automatic,35 mm,oval,steel & yellow gold pvd,sapphire crystal,champagne,steel & yellow gold pvd,yellow gold,7.61E+12,on dial ,men ,30,    2 years,switzerland ,"₹  1,14,900",The Original Automatic
r12413323,,day-date,automatic,35 mm,oval,steel & yellow gold pvd,sapphire crystal,champagne,steel & yellow gold pvd,yellow gold,7.61E+12,on dial ,men ,30,    2 years,switzerland ,"₹  1,12,500",The Original Automatic
r12413324,,day-date,automatic,43 mm,oval,steel & yellow gold pvd,sapphire crystal,champagne,steel & yellow gold pvd,silver & yellow gold,7.61E+12,,men ,30,    2 years,switzerland ,"₹  1,21,700",Original
r12637163,,date,automatic,38.5 mm,round,steel,sapphire crystal,blue,steel,silver,7.61E+12,,men ,100,    2 years,switzerland ,"₹  1,35,300",Original
r12995153,folding clasp,day-date,automatic,38.5 mm,oval,steel,sapphire crystal,grey,steel,silver,7.61E+12,,men ,100,    2 year,switzerland ,"₹  1,55,400",Original
r12391153,,day-date,quartz,35 mm,oval,steel,sapphire crystal,black,steel,silver,7.61E+12,,men ,30,    2 years,switzerland ,"₹  47,500",The Original
r21700702,,,quartz,30 mm,rectangular,ceramic,sapphire crystal,black,ceramic,black,7.61E+12,on dial ,men ,50,    2 years,switzerland ,"₹  2,29,500",Ceramica
r21702722,,,quartz,22.9 mm,rectangular,ceramic,sapphire crystal,black,ceramic,black,7.61E+12,on dial ,women ,50,    2 years,switzerland ,"₹  2,29,500",Ceramica
r48744103,,date,quartz,23 mm,round,steel,sapphire crystal,silver,steel,silver,7.61E+12,,women ,30,    2 years,switzerland ,"₹  54,600",Florence
r48744153,,,quartz,23 mm,round,steel,sapphire crystal,black,steel,silver,,,women ,30,    2 years,switzerland ,"₹  54,600",Florence
r12408613,,,quartz,27 mm,round,steel & rose gold pvd,sapphire crystal,mop,steel & rose gold pvd,silver & rose gold,7.61E+12,on dial ,women ,50,    2 years,switzerland ,"₹  1,23,500",Coupole
r48868723,,date,automatic,28 mm,round,steel,sapphire crystal,black,steel,silver,7.61E+12,on dial ,women ,30,    2 year,switzerland ,"₹  2,10,500",Centrix
r48871173,,date,quartz,28 mm,round,steel,sapphire crystal,black,steel & yellow gold pvd,silver & yellow gold,7.61E+12,,women ,30,    2 year,switzerland ,"₹  74,800",Florence
r48744163,,date,quartz,23 mm,round,steel,sapphire crystal,black,steel,silver,7.61E+12,on dial ,women ,30,    2 years,switzerland ,"₹  65,700",Flourence
r48744723,,,quartz,23 mm,round,steel,sapphire crystal,black,steel,silver,7.61E+12,on dial ,women ,30,    2 years,switzerland ,"₹  61,500",Florence
r48745154,,,quartz,23 mm,round,steel & yellow gold pvd,sapphire crystal,black,steel & yellow gold pvd,silver & yellow gold,7.61E+12,on dial ,women ,30,    2 years,switzerland ,"₹  64,200",Florence
r48792103,,date,quartz,35 mm,round,steel,sapphire crystal,silver,steel,silver,7.61E+12,,men ,30,    2 years,switzerland ,"₹  62,800",Florence
r48792153,,date,quartz,35 mm,round,steel,sapphire crystal,black,steel,silver,7.61E+12,on dial ,men ,30,    2 years,switzerland ,"₹  62,800",Florence
r48867155,folding clasp,date,quartz,38 mm,round,steel & rose gold pvd,sapphire crystal,black,leather,black,,,unisex ,30,    2 year,switzerland ,"₹  69,900",Florence
r48868163,,date,quartz,38 mm,round,steel & yellow gold pvd,sapphire crystal,black,steel & yellow gold pvd,yellow gold,7.61E+12,,men ,30,    2 year,switzerland ,"₹  67,300",Florence
r48868723,,date,quartz,38 mm,round,,sapphire crystal,silver,steel & yellow gold pvd,silver & yellow gold,7.61E+12,on dial ,men ,30,    2 years,switzerland ,"₹  88,500",Florence
r48871714,,date,quartz,28 mm,round,steel,sapphire crystal,black,steel & yellow gold pvd,silver & yellow gold,7.61E+12,on dial ,women ,30,    2 year,switzerland ,"₹  93,100",Florence
r48872253,,date,quartz,28 mm,round,steel & yellow gold pvd,sapphire crystal,silver,steel & yellow gold pvd,silver & yellow gold,7.61E+12,on dial ,women ,30,    2 years,switzerland ,"₹  88,500",Florence
r48872723,,date,quartz,28 mm,round,steel & yellow gold pvd,sapphire crystal,silver,steel & yellow gold pvd,silver & yellow gold,7.61E+12,on dial ,women ,30,    2 years,switzerland ,"₹  88,500",Florence
r48873103,,date,quartz,28 mm,round,steel & rose gold pvd,sapphire crystal,silver,steel & rose gold pvd,silver & rose gold,7.61E+12,,women ,30,    2 years,switzerland ,"₹  79,100",Florence Classic
r48874013,,date,quartz,28 mm,round,steel,sapphire crystal,silver,steel,silver,7.61E+12,,women ,30,    2 years,switzerland ,"₹  66,100",Florence
r30034712,,date,automatic,28 mm,round,ceramic,sapphire crystal,black,,black & yellow gold,7.61E+12,on dial ,women ,30,    2 years,switzerland ,"₹  2,03,900",Centrix
r30130152,, date,quartz,40 mm,round,steel & ceramic,sapphire crystal,black,steel & ceramic,silver & black,7.61E+12,,men ,30,    2 years,switzerland ,"₹  1,85,900",Centrix Chronograph
r30162172,,date,automatic,40 mm,round,steel & rose gold pvd,sapphire crystal,black,steel & rose gold pvd,black & rose gold,7.61E+12,,men ,50,    2 year,switzerland ,"₹  1,71,900",Centrix
r30180113,,open balance wheel,automatic,38 mm,round,steel & yellow gold pvd,sapphire crystal,silver,steel & yellow gold pvd,silver & yellow gold,7.61E+12,,men ,30,    2 years,switzerland ,"₹  1,65,900",Centrix
r30180162,,,automatic,38 mm,round,ceramic,sapphire crystal,black,ceramic,black & yellow gold,7.61E+12,,men ,30,    2 years,switzerland ,"₹  2,00,400",Centrix
r30181312,,,automatic,38 mm,round,steel & rose gold pvd,sapphire crystal,silver,ceramic & rose gold pvd,brown,7.61E+12,,men ,30,    2 years,switzerland ,"₹  2,00,400",Centrix Automatic Open Heart
r30183712,,date,automatic,28 mm,round,steel & rose gold pvd,sapphire crystal,black,ceramic & rose gold pvd,black & rose gold,7.61E+12,on dial ,women ,30,    2 years,switzerland ,"₹  2,03,900",Centrix Automatic Diamonds
r30941752,folding clasp,date,automatic,38 mm,round,steel,sapphire crystal,black,steel,black,7.61E+12,on bezel ,men ,30,    2 years,switzerland ,"₹  2,10,400",Centrix Automatic Diamonds
r22879025,, power reserve indicator,automatic,41 mm,round,steel & rose gold pvd,sapphire crystal,silver,leather,brown,7.61E+12,,men ,50,    2 years,switzerland ,"₹  1,55,000",Coupole
